smiles,hit0,hit1
[H]C1S[C@H](N([H])N([H])[H])[C@H](C(=O)[C@]2([H])OC([H])([H])C([H])([H])C2([H])[H])[C@@H](C([H])([H])C([H])([H])[H])C1C([H])([H])C([H])([H])N([H])C([H])([H])[H],m0145a,m0790a
[H]c1c(C([H])([H])[H])[nH]c([C@]([H])(c2c([H])c([H])c(F)c([H])c2O)C([H])([H])N([H])S(=O)(=O)C([H])([H])[H])c1[H],m0031a,m0037a
[H]c1c([H])c(C([H])([H])C([H])([H])N([H])S(=O)(=O)C([H])([H])[H])c(C([H])([H])[H])c(C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])c1F,m0031a,m0099a
[H]C1C(C([H])([H])C([H])([H])C([H])([H])F)[C@H](C([H])([H])N([H])S(=O)(=O)C([H])([H])[H])[C@H]([H])[C@@H]([H])[C@H]([C@]([H])(N([H])[H])N([H])C(=O)C([H])([H])C([H])([H])[H])C([H])[C@@H]1[H],m0031a,m0140a
[H]C1S[C@H](N([H])S(=O)(=O)C([H])([H])[H])[C@H]2C([H])C([H])C(F)C([H])[C@@H]2[C@@H](O)C1[H],m0031a,m0199a
[H]NC([H])([H])C([H])([H])c1c([H])c([H])c(F)c(C([H])([H])[H])c1[H],m0031a,m0219a
[H]c1c([H])c(C([H])([H])C([H])([H])N([H])S(=O)(=O)C([H])([H])[H])c([H])c(C([H])([H])[H])c1F,m0031a,m0238a
[H]Oc1c([H])c(OC([H])([H])[H])c([H])c([H])c1N1C([H])([H])C([H])=[S@]2([H])=C(C1([H])[H])S([H])(=O)(C([H])([H])[H])C([H])=N2,m0031a,m0243a
[H]c1c([H])c(C(=O)[C@@]2(N([H])C([H])([H])[H])N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c(F)c([H])c3[H])C([H])([H])[C@@]([H])(C(=O)N([H])[H])C2([H])[H])c([H])c(C([H])([H])[H])c1[H],m0031a,m0248a
[H]c1c([H])c(C([H])([H])C([H])([H])[C@]([H])(F)C([H])([H])[H])c([H])c(N(C([H])([H])[H])S(=O)(=O)C([H])([H])[H])c1C([H])([H])C([H])([H])C([H])([H])[H],m0031a,m0306a
[H]c1c([H])c2c(c(N([H])C(=S)N([H])[H])c1F)OC(F)(F)[C@@]2([H])C([H])([H])N([H])S(=O)(=O)C([H])([H])[H],m0031a,m0310a
[H]N1C([H])([H])C([H])([H])C2(C3=C(C([H])([H])C([H])([H])[C@@]2([H])F)[C@]([H])(C([H])([H])N([H])S(=O)(=O)C([H])([H])[H])C([H])([H])O3)C([H])([H])C1([H])[H],m0031a,m0332a
[H]c1nc(C([H])([H])[H])n(C([H])([H])c2c(C#N)c(F)c([H])c([H])c2C([H])([H])C([H])([H])N([H])S(=O)(=O)C([H])([H])[H])c1[H],m0031a,m0354a
[H]N(C([H])([H])[H])C([H])([H])OC1([H])C([H])([H])C1([H])[H],m0031a,m0401a
[H]C1([H])N(S(=O)(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@@]2(C([H])([H])C1([H])[H])C([H])([H])C([H])([H])[C@@]([H])(F)[C@]([H])(C([H])([H])[H])C2([H])[H],m0031a,m0404a
[H]N(C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])(F)[C@@]2(C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C2([H])[H])C1([H])[H])S(=O)(=O)C([H])([H])[H],m0031a,m0409a
[H]N(C(=O)[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(N([H])S(=O)(=O)C([H])([H])[H])C([H])([H])[C@]12C([H])([H])C([H])([H])[C@@]([H])(F)C([H])([H])C2([H])[H])C([H])([H])[H],m0031a,m0424a
[H]c1c([H])c(C([H])([H])C([H])([H])N([H])S(=O)(=O)C([H])([H])[H])c([H])c([H])c1OC([H])([H])[H],m0031a,m0455a
[H]c1c([H])c(C([H])([H])N([H])C([H])([H])C([H])([H])N(C([H])([H])[H])S(=O)(=O)C([H])([H])[H])c([H])c([H])c1F,m0031a,m0468a
[H]N1C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])N([H])S(=O)(=O)C([H])([H])[H])[C@]2(C1([H])[H])C([H])([H])C([H])([H])[C@@]([H])(F)C([H])([H])C2([H])[H],m0031a,m0470a
[H]O[C@@]1(C([H])([H])N([H])S(=O)(=O)C([H])([H])[H])c2c([H])c([H])c(F)c([H])c2OC1([H])[H],m0031a,m0471a
[H]c1c(N([H])S(=O)(=O)C([H])([H])[H])c([H])c2c([H])c([H])c(F)c([H])c2c1[H],m0031a,m0472a
[H]c1c(C([H])([H])[C@]([H])(F)C([H])([H])C([H])([H])[H])c([H])c(=O)n(C([H])([H])[C@@]([H])(C(=O)[O-])C([H])([H])[H])c1[H],m0031a,m0501a
[H]c1c([H])c([C@]2([H])C([H])([H])/C(=N/[S@@](=O)C([H])([H])[H])N([H])C2([H])[H])c([H])c(F)c1F,m0031a,m0514a
[H]c1c([H])c(C([H])([H])C([H])([H])N([H])S(=O)(=O)C([H])([H])[H])c([H])c(N([H])C([H])([H])[C@]2([H])OC([H])([H])C([H])([H])N(C([H])([H])[H])C2([H])[H])c1F,m0031a,m0533a
[H]Oc1c(F)c([H])c([H])c2c([H])nc(C([H])([H])[H])c([H])c12,m0031a,m0536a
[H]c1c([H])c(C([H])([H])C([H])([H])N([H])S(=O)(=O)C([H])([H])[H])c([H])c([H])c1F,m0031a,m0549a
[H]N(C([H])([H])[C@@]1([H])C2=C(C(=O)N1C([H])([H])[H])[C@@]1(C([H])([H])OC([H])([H])C1([H])[H])[C@]([H])(F)C([H])([H])C2([H])[H])S(=O)(=O)C([H])([H])[H],m0031a,m0573a
[H]C1=NC([H])[C@@H]2C([H])C([H])([H])[C@](c3c([H])c([H])c(F)c(C([H])([H])[H])c3[H])(N([H])C([H])([H])[H])C([H])([H])[C@]12[H],m0031a,m0594a
[H]c1c([H])c([C@@]2(C([H])([H])[H])N(S(=O)(=O)C([H])([H])[H])C([H])([H])SC2([H])[H])c([H])c(OC([H])([H])[H])c1F,m0031a,m0597a
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])N=[S@@](=O)(N([H])C([H])([H])C([H])([H])c2c([H])c([H])c(F)c([H])c2[H])C([H])([H])[H])c(C([H])([H])[H])c1[H],m0031a,m0609a
[H]C(=O)[C@@]1([H])C([H])([H])[C@]([H])(F)[C@]([H])(F)C([H])([H])[C@@]12C([H])([H])C([H])([H])OC([H])([H])[C@@]2([H])C([H])([H])N([H])S(=O)(=O)C([H])([H])[H],m0031a,m0615a
[H]C1=[S@@]2N=S([H])(N([H])[H])(C([H])([H])[H])N=C2C([H])([H])N(c2c([H])c([H])c(F)c([H])c2[H])C1([H])[H],m0031a,m0631a
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])c2c([H])c([H])c(F)c([H])c2[H])c(N=[S@@]([H])(=O)C([H])([H])[H])c1[H],m0031a,m0641a
[H]N1C([H])([H])[C@]2(C([H])([H])C([H])([H])[C@]1([H])N(C([H])([H])[H])S(=O)(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(F)C([H])([H])C2([H])[H],m0031a,m0642a
[H]OC([H])([H])[C@]([H])(N(C([H])=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H],m0031a,m0658a
[H]c1c([H])c(C([H])([H])C([H])([H])[C@@]([H])(F)C([H])([H])[H])c([H])c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])([S@](=O)C([H])([H])[H])C2([H])[H])c1C([H])([H])C([H])([H])C([H])([H])[H],m0031a,m0659a
[H]O[C@]1([H])[C@](N([H])C2C([H])C([H])C([H])NC3C([H])C([H])C([H])[C@H]3C2[H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]1([H])N=O,m0031a,m0677a
[H]N([C@]1([H])C([H])([H])O[C@]2(C([H])([H])C1([H])[H])C([H])([H])C([H])([H])[C@]([H])(F)C([H])([H])C2([H])[H])S(=O)(=O)C([H])([H])[H],m0031a,m0717a
[H]C(=O)[C@@]([H])(c1c([H])c([H])c(F)c([H])c1[H])[C@@]([H])(N([H])S(=O)(=O)C([H])([H])[H])C([H])([H])[H],m0031a,m0731a
[H]c1c(C([H])([H])[H])c(OS(=O)(=O)C([H])([H])[H])c(C([H])([H])[H])c(C([H])([H])[H])c1C([H])([H])C([H])([H])N([H])S(=O)(=O)C([H])([H])[H],m0031a,m0733a
[H]NC([H])([H])[C@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]12C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]([H])(F)[C@]([H])(O[H])C2([H])[H],m0031a,m0743a
[H]c1c([H])c(C(C([H])([H])N([H])S(=O)(=O)C([H])([H])[H])=[S@TB15]([H])(=O)N([H])[H])c(OC([H])(F)F)c([H])c1F,m0031a,m0744a
[H]c1c([H])c(N2C([H])([H])C(=O)N([H])/C(=N\[S@@](=O)C([H])([H])[H])C2([H])[H])c([H])c([H])c1F,m0031a,m0770a
[H]c1c([H])c2c(c([H])c1F)C([H])([H])O[C@@]2([H])[C@]([H])([O-])N([H])S(=O)(=O)C([H])([H])[H],m0031a,m0789a
[H]c1c([H])c2c(c([H])c1F)[C@]([H])(C([H])([H])C([H])([H])[H])N([H])[C@@]2([H])C([H])([H])N([H])S(=O)(=O)C([H])([H])[H],m0031a,m0790a
[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@@](C(=O)[C@]3([H])OC([H])([H])C([H])([H])C3([H])[H])(c3onc(C([H])([H])[H])c3[H])S[C@@]21[H],m0037a,m0145a
[H]c1c(C([H])([H])[H])noc1[C@]([H])(n1nc(C([H])([H])[H])c([H])c([H])c1=O)C([H])([H])N([H])S(=O)(=O)C([H])([H])[H],m0037a,m0031a
[H]C1C([H])C(C([H])([H])[H])[C@@H]2[C@@H](C1O)C([H])([H])[C@@]1(ON([H])[C@@]([H])(C([H])([H])[H])C1([H])[H])[C@]([H])(C([H])([H])N([H])S(=O)(=O)C([H])([H])[H])C2([H])[H],m0037a,m0219a
[H]O[C@@]1([H])C([H])([H])[C@]([H])(C([H])([H])[H])[C@]([H])(C([H])([H])N([H])C([H])([H])[H])[C@@]2([H])C([H])([H])[C@@]([H])(C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[C@]3(ON([H])[C@@]([H])(C([H])([H])[H])C3([H])[H])C([H])([H])[C@@]21[H],m0037a,m0238a
[H]C(=O)[C@@](c1onc(C([H])([H])[H])c1[H])(N1C([H])([H])C([H])([H])S(=O)(=O)C([H])([H])C1([H])[H])n1nc(C([H])([H])C([H])([H])[H])c([H])c([H])c1=O,m0037a,m0243a
[H]c1c(C([H])([H])[H])noc1C([H])([H])n1nc(C([H])([H])c2c([H])c(C(=O)N3C([H])([H])C([H])([H])C([H])(C(=O)N([H])[H])C([H])([H])C3([H])[H])c([H])c(C([H])([H])[H])c2[H])c([H])c([H])c1=O,m0037a,m0248a
